Amaroo,1728925200,1.0,208.62,0.56,49.35,0.2,3.14,4.18,0.34
Amaroo,1728928800,1.0,208.62,0.5,48.64,0.18,3.17,4.13,0.34
Amaroo,1728932400,1.0,206.95,0.47,48.64,0.17,2.88,3.7,0.35
Amaroo,1728936000,1.0,208.62,0.47,49.35,0.17,2.56,3.25,0.35
Amaroo,1728939600,1.0,210.29,0.54,49.35,0.17,2.3,2.87,0.35
Amaroo,1728943200,1.0,210.29,0.67,49.35,0.15,1.9,2.3,0.33
Amaroo,1728946800,1.0,208.62,0.65,48.64,0.12,1.53,1.78,0.31
Amaroo,1728950400,1.0,206.95,0.46,47.21,0.09,1.25,1.44,0.28
Amaroo,1728954000,1.0,208.62,0.2,49.35,0.06,0.93,1.08,0.24
Amaroo,1728957600,1.0,208.62,0.12,50.78,0.06,0.68,0.83,0.24
Amaroo,1728961200,1.0,208.62,0.1,51.5,0.08,0.6,0.81,0.25
Amaroo,1728964800,1.0,208.62,0.1,51.5,0.09,0.58,0.86,0.26
Amaroo,1728968400,1.0,208.62,0.1,50.78,0.09,0.57,0.9,0.27
Amaroo,1728972000,1.0,206.95,0.11,50.78,0.11,0.6,1.01,0.29
Amaroo,1728975600,1.0,206.95,0.19,50.07,0.13,0.69,1.32,0.35
Amaroo,1728979200,1.0,206.95,0.32,48.64,0.14,0.86,1.91,0.46
Amaroo,1728982800,1.0,206.95,0.4,48.64,0.16,1.02,2.52,0.54
Amaroo,1728986400,1.0,208.62,0.4,50.07,0.2,1.12,3.07,0.59
Amaroo,1728990000,1.0,208.62,0.38,50.78,0.24,1.22,3.62,0.6
Amaroo,1728993600,1.0,210.29,0.38,51.5,0.25,1.31,4.14,0.59
Amaroo,1728997200,1.0,210.29,0.38,51.5,0.25,1.35,4.41,0.56
Amaroo,1729000800,1.0,210.29,0.43,51.5,0.24,1.32,4.31,0.52
Amaroo,1729004400,1.0,210.29,0.46,50.78,0.23,1.29,4.17,0.48
Amaroo,1729008000,1.0,210.29,0.49,50.07,0.24,1.26,4.03,0.47
Amaroo,1729011600,1.0,210.29,0.58,49.35,0.25,1.24,3.88,0.5
Amaroo,1729015200,1.0,210.29,0.63,48.64,0.28,1.21,3.73,0.51
Amaroo,1729018800,1.0,210.29,0.7,47.92,0.31,1.18,3.56,0.52
Amaroo,1729022400,1.0,210.29,0.73,47.21,0.33,1.14,3.45,0.52
Amaroo,1729026000,1.0,210.29,0.79,47.21,0.35,1.12,3.38,0.52
Amaroo,1729029600,1.0,210.29,0.74,47.21,0.4,1.12,3.36,0.52
Amaroo,1729033200,1.0,210.29,0.65,48.64,0.46,1.07,3.15,0.54
Amaroo,1729036800,1.0,210.29,0.5,52.93,0.5,0.98,2.76,0.55
Amaroo,1729040400,1.0,213.62,0.27,57.22,0.48,0.91,2.29,0.49
Amaroo,1729044000,2.0,216.96,0.2,60.08,0.49,0.99,2.19,0.44
Amaroo,1729047600,2.0,220.3,0.22,62.23,0.57,1.21,2.38,0.45
Amaroo,1729051200,2.0,226.97,0.25,60.8,0.48,1.2,2.1,0.41
Amaroo,1729054800,1.0,233.65,0.28,57.22,0.36,1.06,1.67,0.38
Amaroo,1729058400,1.0,233.65,0.36,55.08,0.29,1.05,1.53,0.39
Amaroo,1729062000,1.0,230.31,0.91,47.21,0.22,1.3,1.82,1.09
Amaroo,1729065600,1.0,226.97,1.82,40.77,0.19,1.68,2.3,2.12
Amaroo,1729069200,1.0,226.97,2.4,39.7,0.21,1.94,2.62,3.2
